,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_followers,artist_genres,artist_popularity
0,0.506,0.589,0,-7.364,0,0.0379,0.119,0.00472,0.139,0.884,199.849,audio_features,7pxs0seevgCsp3h23lUGBw,spotify:track:7pxs0seevgCsp3h23lUGBw,https://api.spotify.com/v1/tracks/7pxs0seevgCsp3h23lUGBw,https://api.spotify.com/v1/audio-analysis/7pxs0seevgCsp3h23lUGBw,243458,4,122284,"['cumbia', 'cumbia sonidera', 'tropical']",59
0,0.681,0.504,7,-11.099,1,0.0284,0.669,0.0,0.142,0.705,89.994,audio_features,1kCewNSs909Xj1naXr36X8,spotify:track:1kCewNSs909Xj1naXr36X8,https://api.spotify.com/v1/tracks/1kCewNSs909Xj1naXr36X8,https://api.spotify.com/v1/audio-analysis/1kCewNSs909Xj1naXr36X8,172627,4,2037301,"['latin pop', 'mexican pop', 'tejano']",77
0,0.781,0.701,9,-5.449,1,0.0853,0.168,1.77e-05,0.0635,0.744,169.942,audio_features,1empPjAI5SfG0Qk8RXzHj8,spotify:track:1empPjAI5SfG0Qk8RXzHj8,https://api.spotify.com/v1/tracks/1empPjAI5SfG0Qk8RXzHj8,https://api.spotify.com/v1/audio-analysis/1empPjAI5SfG0Qk8RXzHj8,215000,4,451498,"['nu-cumbia', 'regional mexican', 'tropical']",67
0,0.59,0.705,11,-6.183,0,0.0582,0.138,0.0,0.295,0.963,191.861,audio_features,6azC9WCgqehMj2tHoaa10b,spotify:track:6azC9WCgqehMj2tHoaa10b,https://api.spotify.com/v1/tracks/6azC9WCgqehMj2tHoaa10b,https://api.spotify.com/v1/audio-analysis/6azC9WCgqehMj2tHoaa10b,259467,4,221997,"['cumbia sonidera', 'tropical']",59
0,0.778,0.612,5,-6.12,1,0.0601,0.288,8.98e-05,0.091,0.928,84.78,audio_features,1zVDbrBG7zCd6AXGLmbGj4,spotify:track:1zVDbrBG7zCd6AXGLmbGj4,https://api.spotify.com/v1/tracks/1zVDbrBG7zCd6AXGLmbGj4,https://api.spotify.com/v1/audio-analysis/1zVDbrBG7zCd6AXGLmbGj4,211813,4,528766,"['cumbia sonidera', 'regional mexican', 'tropical']",62
0,0.598,0.89,9,-4.863,0,0.0662,0.435,0.824,0.227,0.546,182.077,audio_features,12CjTBrIidxLSgam2iOw2o,spotify:track:12CjTBrIidxLSgam2iOw2o,https://api.spotify.com/v1/tracks/12CjTBrIidxLSgam2iOw2o,https://api.spotify.com/v1/audio-analysis/12CjTBrIidxLSgam2iOw2o,167267,4,111001,"['cumbia sonidera', 'grupera', 'tropical']",58
0,0.651,0.472,2,-7.613,1,0.0583,0.276,2.47e-06,0.158,0.668,83.079,audio_features,6Vwr4zJDyXk2IzNUMzEhmQ,spotify:track:6Vwr4zJDyXk2IzNUMzEhmQ,https://api.spotify.com/v1/tracks/6Vwr4zJDyXk2IzNUMzEhmQ,https://api.spotify.com/v1/audio-analysis/6Vwr4zJDyXk2IzNUMzEhmQ,271560,4,4747927,"['gruperas inmortales', 'nu-cumbia', 'regional mexican', 'tropical']",79
0,0.658,0.498,5,-9.369,0,0.0297,0.00416,0.339,0.0983,0.774,90.976,audio_features,4RWbOGWFhcnQbzafhHUSGB,spotify:track:4RWbOGWFhcnQbzafhHUSGB,https://api.spotify.com/v1/tracks/4RWbOGWFhcnQbzafhHUSGB,https://api.spotify.com/v1/audio-analysis/4RWbOGWFhcnQbzafhHUSGB,279880,4,17957,"['cumbia sonidera', 'tropical']",44
0,0.811,0.576,7,-9.001,1,0.0294,0.198,0.0,0.071,0.707,96.995,audio_features,02pQk9G1SnyBBVh9yOtxau,spotify:track:02pQk9G1SnyBBVh9yOtxau,https://api.spotify.com/v1/tracks/02pQk9G1SnyBBVh9yOtxau,https://api.spotify.com/v1/audio-analysis/02pQk9G1SnyBBVh9yOtxau,296680,4,303807,"['cumbia', 'cumbia sonidera', 'regional mexican', 'tropical']",62
0,0.68,0.536,2,-8.943,0,0.0357,0.262,0.00208,0.141,0.914,137.502,audio_features,6mitEFB3w4GBe8YDlLfITL,spotify:track:6mitEFB3w4GBe8YDlLfITL,https://api.spotify.com/v1/tracks/6mitEFB3w4GBe8YDlLfITL,https://api.spotify.com/v1/audio-analysis/6mitEFB3w4GBe8YDlLfITL,146147,4,215331,"['cumbia sonidera', 'musica costena', 'tropical']",53
