,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_followers,artist_genres,artist_popularity
0,0.567,0.758,9,-3.998,1,0.095,0.0937,0.00249,0.601,0.242,133.687,audio_features,3Xuhi20r1A2FGQHAisL551,spotify:track:3Xuhi20r1A2FGQHAisL551,https://api.spotify.com/v1/tracks/3Xuhi20r1A2FGQHAisL551,https://api.spotify.com/v1/audio-analysis/3Xuhi20r1A2FGQHAisL551,114645,4,2187413,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",76
0,0.625,0.911,0,-6.418,1,0.0348,0.0011,0.903,0.357,0.669,129.466,audio_features,5ZD3VYewwI5s6wzPOZusxn,spotify:track:5ZD3VYewwI5s6wzPOZusxn,https://api.spotify.com/v1/tracks/5ZD3VYewwI5s6wzPOZusxn,https://api.spotify.com/v1/audio-analysis/5ZD3VYewwI5s6wzPOZusxn,513508,4,470,[],20
0,0.634,0.581,8,-3.686,1,0.132,0.0273,0.776,0.125,0.532,179.921,audio_features,1XOHLjNzLVbQUgNBk23hRp,spotify:track:1XOHLjNzLVbQUgNBk23hRp,https://api.spotify.com/v1/tracks/1XOHLjNzLVbQUgNBk23hRp,https://api.spotify.com/v1/audio-analysis/1XOHLjNzLVbQUgNBk23hRp,178333,4,360,[],23
0,0.558,0.813,0,-8.919,1,0.045,0.00219,0.124,0.533,0.28,124.03,audio_features,7ypjELqhyUT3BBCws8kzKN,spotify:track:7ypjELqhyUT3BBCws8kzKN,https://api.spotify.com/v1/tracks/7ypjELqhyUT3BBCws8kzKN,https://api.spotify.com/v1/audio-analysis/7ypjELqhyUT3BBCws8kzKN,237040,4,728249,"['art pop', 'electronica', 'glitch pop', 'indie rock', 'oxford indie']",64
0,0.864,0.54,1,-5.964,1,0.18,0.0747,0.0,0.329,0.609,144.959,audio_features,23QNeWdV1uiLA8OyZ60mee,spotify:track:23QNeWdV1uiLA8OyZ60mee,https://api.spotify.com/v1/tracks/23QNeWdV1uiLA8OyZ60mee,https://api.spotify.com/v1/audio-analysis/23QNeWdV1uiLA8OyZ60mee,120222,4,29247,"['escape room', 'glitchcore', 'hyperpop']",50
0,0.761,0.806,10,-4.402,0,0.0603,0.0664,0.00695,0.619,0.707,116.977,audio_features,1dDDQM0YvlrdPi6EVmEDun,spotify:track:1dDDQM0YvlrdPi6EVmEDun,https://api.spotify.com/v1/tracks/1dDDQM0YvlrdPi6EVmEDun,https://api.spotify.com/v1/audio-analysis/1dDDQM0YvlrdPi6EVmEDun,206893,4,111201,"['alternative r&b', 'art pop', 'escape room', 'hyperpop']",53
0,0.538,0.308,9,-12.99,0,0.0369,0.956,0.0234,0.11,0.15,111.97,audio_features,0qCSVXlSql2UkFJupliZon,spotify:track:0qCSVXlSql2UkFJupliZon,https://api.spotify.com/v1/tracks/0qCSVXlSql2UkFJupliZon,https://api.spotify.com/v1/audio-analysis/0qCSVXlSql2UkFJupliZon,233000,4,319,[],16
0,0.438,0.457,8,-6.991,1,0.0634,0.238,0.000194,0.132,0.603,165.752,audio_features,0HPNtkVFdg7vB5fKXSABfn,spotify:track:0HPNtkVFdg7vB5fKXSABfn,https://api.spotify.com/v1/tracks/0HPNtkVFdg7vB5fKXSABfn,https://api.spotify.com/v1/audio-analysis/0HPNtkVFdg7vB5fKXSABfn,151807,4,22830,"['escape room', 'future bass', 'glitchcore', 'hyperpop']",51
0,0.499,0.498,0,-11.229,0,0.0313,0.751,0.293,0.094,0.517,104.959,audio_features,14likWYaCVRw5fUDyKMR2g,spotify:track:14likWYaCVRw5fUDyKMR2g,https://api.spotify.com/v1/tracks/14likWYaCVRw5fUDyKMR2g,https://api.spotify.com/v1/audio-analysis/14likWYaCVRw5fUDyKMR2g,256924,4,508,[],20
0,0.57,0.786,5,-6.527,1,0.0305,0.000277,0.913,0.568,0.103,100.03,audio_features,02KSiz6vuXHguCHQpfV69n,spotify:track:02KSiz6vuXHguCHQpfV69n,https://api.spotify.com/v1/tracks/02KSiz6vuXHguCHQpfV69n,https://api.spotify.com/v1/audio-analysis/02KSiz6vuXHguCHQpfV69n,108069,4,5754,"['deconstructed club', 'fluxwork', 'indonesian experimental']",25
